Product/s,Application/s,Component/s,Region(s),"Measures, Solutions & Updates",Summary,Description,Customer/s
TLE5028C-XAA-D28,ATV_PWT_ENGINE_MANAGEMENT,,EMEA,"Attached is the Simulink model of TLE5028. _x000D_
It is based on the original model of Simon Hainz. _x000D_
The GMR model has been changed to the Stoner Wohlfahrt model. _x000D_
The parameters of the Stoner Wholfahrt models have been updated together with Armin Satz in order to get the correct By dependence (at By = 5mT the sensitivity should be half). The parameters of the GMR model are also attached for future reference. ",System-C-Model of TLE5028C needed to do simulation including By-influence including Temperature,"Electricfil needs to simulate behaviour of TLE5080 (GM-opportunity)_x000D_
- back-bias (MFB)_x000D_
- displacement_x000D_
- stop-start_x000D_
- temperature-drift",ZF
TLE5046IC-PWM-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"[1] Yes it is possible to store from the PGSISI to Excel the data coming from one entire wheel revolution. We just made some test on our desk and the PGSISI saved a big amount of data in Excel without problems._x000D_
[2] I checked with model simulations and concept engineer and the ADC should saturate AFTER the GMR saturates. To be 100% sure I will check also with analog designer, but he is currently sick and not at work._x000D_
[3] There is only one ADC, both in 5045 and 5046 and this is the tracking ADC. Tracking ADC is a type of ADC, please refer to Wikipedia or other sources to understand how it works._x000D_
In 5045 the tracking ADC is converting the speed signal, in 5046 the tracking ADC is converting in time-multiplexing the speed, direction and temperature signals. _x000D_
In the PGSISI SW of 5045 you can read tracking ADC register value (10 bits) and speed ADC (avg) value (13 bits inside the chip). The second is obtained summing up the last 8 values of the tracking ADC register and hence it is on 13 bits. In particular:_x000D_
•	Tracking ADC: pure value of the tracking ADC register, on 10 bits. To get the value on 13 bits and calculate the sensitivity you have to multiply by a factor of 8 (see slide 8 in your presentation)._x000D_
•	Speed ADC (avg): sum of the last 8 samples of the tracking ADC register, on 13 bits. Only the 12 MSB bits are read out because this is the maximum number of bit that can be sent in the SPI interface. To get the value on 13 bits and calculate the sensitivity you have to multiply by a factor of 2 (see slide 9 in your presentation)._x000D_
",Denso internal signal check by EvalKit,"Denso has 1 request._x000D_
They would like to know how the internal signal works depends on the relationship between IC and encoder._x000D_
(This is similar demand with Hitachi and Sumitomo)_x000D_
_x000D_
I think there’s 2 option to support this demand._x000D_
_x000D_
[1]To provide EvalKit and Denso use that and check the internal through BE SPI as same as Hitachi and Sumitomo._x000D_
[2]Denso lend us their encoder and check the airgap characteristic by Villach lab_x000D_
_x000D_
I think [1] is easy way for both side._x000D_
So I introduced [1] to them._x000D_
_x000D_
If the EvalKit function is sufficient for them, they said they would like to use that Evalkit._x000D_
So they have questions._x000D_
_x000D_
[1]Can this IC store ADC values which covers at least 48 poles pair?_x000D_
  Because they would like to check full signals for 1 rotation._x000D_
_x000D_
[2]They would like to know whether internal tracking ADC signal threshold is larger than output of GMR element?_x000D_
  This question means Denso has concern that even if output of GMR element hasn’t saturated yet, the ADC output saturates first due to the limit of ADC spec._x000D_
  In this case, they can’t check the maximum actual value of GMR element._x000D_
  _x000D_
[3]This is my question._x000D_
 In regards with attachment which Patricia provided to me when we discussed about Hitachi-Nissan requirement._x000D_
  Sorry for basic question after such a long time._x000D_
_x000D_
  Page 6 describes there’s 2 parameters, Tracking ADC and Speed ADC(avg) for TLE5045._x000D_
  But there’s no Speed ADC expression in this block diagram._x000D_
  _x000D_
   On the other hand, TLE5045 application note Chapter 8 describes the parameter is only Speed ADC signal._x000D_
   So which one is correct?_x000D_
_x000D_
   And in regards with TLE5046, I recognize we can select 2 parameters, Speed ADC signal or Direction ADC signal._x000D_
   Is this correct?_x000D_
",DENSO
TLE4922-XAN-F,None,,AP,"YES, TLE4922-XAN can!_x000D_
_x000D_
Important:_x000D_
 We decided to have two variants on the market:_x000D_
 XAN for 2-wheeler and lowest cost market_x000D_
 XIN enabling an application with more demanding temperature profile at little higher cost_x000D_
 In fact there is the same silicon and the same package used._x000D_
 The difference: Infineon grants more reliability for XIN-device._x000D_
_x000D_
Please be careful in communication to the customer in order to not destroy the better cost-position for the XIN-device._x000D_
",Overvoltage capabilities of TLE4922-XAN-F,"Customer wants to know if TLE4922-XAN-F can pass the below tests:_x000D_
_x000D_
1. 24V for 1 min with a 10Ohm resistor.",CONTINENTAL
TLE5046IC-PWME-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"■SM6 Low airgap warning not available, no activation when needed_x000D_
   --> correct, covered by FFM8_x000D_
■SM6 Low airgap warning unwanted activation_x000D_
   --> correct, covered by FFM9_x000D_
■OtherSM : SM7/10/11/12/13/14 warning not avaiable, no activation when needed_x000D_
   --> not correct, if the warning pulse is not available the sensor is not sending warning pulses, then the sensor is not in a safe state -> they are not safe faults_x000D_
■OtherSM : SM7/10/11/12/13/14 warning unwanted activation_x000D_
   --> correct, covered by safe faults_x000D_
■Are there any possibility that normal or standstill pulse becomes warning pulse except for safety mechanism related phenomenon. And if yes, is this failure included in Safety Fault? _x000D_
 --> Yes it is possible, for example, a failure in the protocol generation could cause a pulse to be shorter and be sent out as a warning pulse (just an example). In any case all possibilities are included in the safe faults, because the result is a warning pulse, which is a safe state for the sensor.",Warning pulse behavior - FMEDA related questions,"I got question from Denso about warning pulse behavior at normal operation and standstill operation._x000D_
_x000D_
I summarize warning pulse behavior all cases._x000D_
(I also refer your comment at ISOLAR237)_x000D_
_x000D_
■SM6 Low airgap warning not available, no activation when needed_x000D_
   --> covers by FFM8 (Both normal and standstill)_x000D_
■SM6 Low airgap warning unwanted activation_x000D_
   --> covers by FFM9 (Both normal and standstill)_x000D_
■OtherSM : SM7/10/11/12/13/14 warning not avaiable, no activation when needed_x000D_
   --> covers by Safety Fault (Both normal and standstill)_x000D_
■OtherSM : SM7/10/11/12/13/14 warning unwanted activation_x000D_
   --> covers by Safety Fault (Both normal and standstill)_x000D_
_x000D_
Is my understanding correct?_x000D_
_x000D_
And next Denso's question is Additional one._x000D_
_x000D_
■Are there any possibility that normal or standstill pulse becomes warning pulse except for safety mechanism related phenomenon._x000D_
 And if yes, is this failure included in Safety Fault?_x000D_
_x000D_
This is complicated point..._x000D_
",ARROW
TLE5046IC-PWM-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"Answer from Patricia:_x000D_
_x000D_
Both the test has been performed, the results are available, to handout an official QPAC please request it via the System.",Gate Leak test requirement,"Denso required the detail of reliability test and conditions._x000D_
So we released that detail which is included in QPACK._x000D_
(Please check attached pdf file)_x000D_
_x000D_
But they require us 2 items._x000D_
_x000D_
[1]There's no E8(Gate Leak test) in this pdf._x000D_
So Denso requires to provide GateLeak test result._x000D_
_x000D_
This test is essential for Denso to approve to use this IC, because_x000D_
the said previously when they used our competior product, they encountered trouble related to this test. From that, they have defined this test ""must"" ever since._x000D_
_x000D_
Could you please check whether you have already had this test result,_x000D_
and if there's no result, could you please consider to do addtional test?_x000D_
_x000D_
_x000D_
[2]Denso requires addtional condition test for Gate Leak._x000D_
The standard condition is 400V which is defined by AEC-Q100._x000D_
_x000D_
But they also require additonal condition 1000V._x000D_
They said they also need this test result for approval._x000D_
_x000D_
They required this addtional test for TLE4941plusC and Infineon supported this test for TLE4941plusC. Please check attached excel, This is test result summary which Infineon provided to Denso._x000D_
_x000D_
So could you also please consider to arrange this additional test?_x000D_
_x000D_
_x000D_
Denso requires us to explain both result at Design Review, so we have approximate 2 month left._x000D_
_x000D_
_x000D_
 _x000D_
",ARROW
TLE5046IC-PWM-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"[1] There is no PLL, but a normal oscillator. The clock frequency generated by the oscillator is 8.65MHz (nominal) and can be trimmed with three bits._x000D_
[2] All the digital circuits use the same clock of point [1], this is the only internal clock signal._x000D_
[3] The internal voltage domains are as follow:_x000D_
-analog supply VDDA (normal operation): min = 2.9V, max = 3.1V (if VDDP >3.5V) _x000D_
-speed GMR bridge voltage (normal operation): min = 2.45V, typ = 2.5V, max = 2.55V (if VDDP >3.5V)_x000D_
-digital supply voltage VDDD: min = 2.1V, typ = 2.5V, max = 2.7V (if VDDP > 3.5V)_x000D_
[4] The cutoff frequencies of the filters are: _x000D_
-speed main path: 31.8kHz (nominal)_x000D_
-speed comparator path: 15.5kHz (nominal)_x000D_
-direction path: 31.8kHz (nominal)_x000D_
_x000D_
_x000D_
",Requirement for some internal circuit information ,"Denso requires some internal logic and analog circuit information for their  internal TLE5046iC parts revew on 12/27._x000D_
_x000D_
So they require to provide following information until 12/25._x000D_
THere's 4 questions._x000D_
If it's hard to answer all of them, could you please provide information which you can find answer easiliy first until 12/25?_x000D_
_x000D_
[1]Internal PLL output frequency_x000D_
_x000D_
[2]Internal clock frequency for digital circuit (state machine and others)_x000D_
    -> If there's several clock frequencies, (for example, majority of circuits are drived by PLL output frequency/2, but some few parts(minority parts) are drived by PLL output frequency/4, /8, /16...), is it possible to provide all frequency?_x000D_
If the number is huge, please only focus on the 3 or 4 majority clock frequncies._x000D_
_x000D_
[3]Internal IC's operating voltage._x000D_
   (I recognize there's voltage regurator and internal circuit's operating voltage is different compared with supply voltage by datasheet)_x000D_
_x000D_
[4]Low pass filter cut-off frequency after GMR output._x000D_
_x000D_
_x000D_
",DABO
TLE5045IC-R050TLE5046IC-AK-LR,ATV_CHASSIS_ABS/BRAKING,,JAPAN,Software updated for PGSISI,PGSISI SW V 1.4.1 for TLE504xiC,Update of PGSISI 3.0  Software v1.4.1 for Evalkit for Engineering puprpose.,AVNET
TLE5045IC-R100TLE5046IC-AK-LR,None,,EMEA,Solution is in the two attached .zip folders. Please check if the format and the behavior of the models is as expected.,Prepare System C-Model for Bosch incl Dokumentation,"Bosch wants to have the System C Model to analyze Sensor behaviour. Please prepare a bündle incl. Dokumenation for Handout to Bosch._x000D_
",ZF
TLE4927C-E6947,None,,EMEA,TLE4927C-E6947 uses the same mold compound as TLE4931.,"TLE4927C-E6947: Customer requests info on mold compound, if other than TLE4931","""_x000D_
Our database mentions for the TLE 4931 Shin Etsu KMC180-7  for the epoxy _x000D_
What about TLE 4927-E6947 ? _x000D_
_x000D_
Could you please give us table mentionning caracteristic of material if they are different ( strength parameter...)? _x000D_
We need also the datasheet of these epoxies. Could you please provide it? _x000D_
_x000D_
Dr Mustafa BOUDRISSA ""_x000D_
",DENSO
TLV4964-5TB,None,application lead adas_MC_ONLY,JAPAN,test done,asdd,awdas,CONTINENTAL
TLE5046IC-AK-ERRTLE5046IC-AK-LRTLE5046IC-PWME-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,Unfortunately the TLE5046iC does not provide programmability of direction of detection definition. We should take this into account for next generation WSS.,The direction output value control by IC side,"All customer is asking that whether this IC can adjust direction definition._x000D_
Because basically if right wheel IC defines direction Positive equal forward, and Not Positive is backward, the left wheel becomes opposite relation.(direction Positive equal backward, and Not Positive is forward)_x000D_
_x000D_
They would like to align both output toward forward and backward respectively._x000D_
So they would like to know whether IC can support this adjustment by state-of-art functions._x000D_
_x000D_
If we can't support this, I will answer so to them._x000D_
In that case, they will cover that by ECU side.",ARROW
TLE4931C-N,ATV_PWT_ENGINE_MANAGEMENT,,EMEA,"Re: ATE: number of temperatures _x000D_
_x000D_
_x000D_
Hello Ulli,_x000D_
Yes, 3 temperatures are used in productive BE test, for all TLE4931 products._x000D_
BR_x000D_
Ferdinand_x000D_
_x000D_
",TLE4931 ATE: number of temperatures,"""Hello Ulli _x000D_
Up to now, we think that your EoL tester (ATE) still use 3 temperatures for check TLE4931 in production _x000D_
Could you please confirm that no temperature removed? _x000D_
Thanks in advance _x000D_
Yours, _x000D_
Dr Mustafa BOUDRISSA _x000D_
""",ARROW
TLE5046IC-PWME-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"Case1 of your Visio file is the correct behavior: ""even if the standstill pulse hasn't finished yet, the pulse is terminated and normal pulse starts to coming when the wheel re-starts rotating again."" _x000D_
_x000D_
So when there is a new zero crossing event due to the wheel rotation, the current is forced to IL for a time Tprelow and then goes to IM level for a time depending on direction of rotation and airgap._x000D_
_x000D_
",The behavior of Standstill pluse H period when wheel rotate again,"Denso(TOYOTA) needs to know the standstill behabior ASAP._x000D_
So could you please help to confirm the correct behavior?_x000D_
They hope to get the answer today(11/29)_x000D_
_x000D_
_x000D_
They would like to know if wheel re-starts to rotate again during standstill H pulse is outputting._x000D_
_x000D_
I prepare visio exaple._x000D_
Which case is correct, case1 or case2?_x000D_
_x000D_
Case1 : Even if the standstill pulse hasn't finished yet, the pulse is terminated and normal pulse starts to coming when the wheel re-starts rotating again._x000D_
_x000D_
Case2 : Even if the wheel re-starts rotating again, until standstill H pulse finishes, the rotation normal pulse doesn't reflect for the output current._x000D_
_x000D_
 ",DABO
TLE5046IC-PWME-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"■A_x000D_
Both H and L level of the current are considered._x000D_
■B_x000D_
The failure can happen in both the cases, same as ""A"". _x000D_
■C_x000D_
[1] shares some common failure with FFM4, not with FFM7. Moreover shares some common failures with FFM10, FFM11, FFM12, FFM9, FFM18, FFM19, FFM30, FFM31, FFM32._x000D_
[2] is independent from both FFM4 anf FFM7 but share a common failure with FFM11 and FFM2._x000D_
Update: We calculated the FIT rate for four new functional failure modes. For doing this we do not care about the other FFMs (the one already existing). Now let's take [1] as an example. We says that [1] shares some common failure modes with FFM4, but this does not mean that the individual FIT of [1] or FFM4 need to decrease. In case we had a FFMx given by FFMx = [1] + FFM4, then the overlapping of the common failure modes would be taken into account and the FIT of FFMx would be smaller than the sum of FIT from [1] and FFM4, but this is not the case. _x000D_
■D_x000D_
You can upload the picture when you have prepared it._x000D_
■E_x000D_
[1] and [2] FIT rate are only Hard Error FIT rate. _x000D_
■F_x000D_
As explained in answer ""E"", [1] and [2] FIT rates are only Hard Error, there is not really an assumption behind, this comes from FMEDA calculation directly and our failure catalogs._x000D_
Update: Each module (example: oscillator, current modulator, ADC...) has some possible failure modes that come from our failure catalog and expert judgment. Each of this failure can either be a hard error (permanent) or soft error (temporary). When we calculated the FIT of [1] and [2] in the FMEDA we found out that the failure modes that are related to [1] and [2] are only hard error and that's why we say that they have only hard error FIT associated (and no soft error)._x000D_
■G_x000D_
We have to discuss and schedule with Marketing and PJM --> we will update you as soon as possible. ",New TSR FIT Calculation additional quesitons,"I got addtional question and requirement toward ISOLAR-237 from Denso.... Very sensitive._x000D_
_x000D_
[1]The amplitude level becomes 3.8mA-5.95mA (One moment or parmanently) _x000D_
[2]The amplitude level becomes IError state although the status isn't error (One moment or parmanently) _x000D_
[3]EL pulse doesn't work although the status is pre-warning. _x000D_
[4]EL pulse works although the status is not pre-warning. _x000D_
_x000D_
■A_x000D_
 For the new TSR [1]""The amplitude level becomes 3.8mA-5.95mA (One moment or parmanently) ""_x000D_
They would like to know we consider only pulse L level enter this area, or also consider the both H level and L level enter this area._x000D_
 -->I assume former one is correct, can you prepare appropriate answer?_x000D_
_x000D_
■B_x000D_
 Same question with ■A for new TSR [2]""The amplitude level becomes IError state although the status isn't error (One moment or parmanently) ""_x000D_
 -->How about for [2]?_x000D_
_x000D_
■C_x000D_
 FFM4 and FFM7 is ""no pulse"" FFM._x000D_
 Denso would like to know whether parts of [1] and [2] are covered(duplicated) by FFM4 or FFM7._x000D_
 -->There's no duplicate, right?_x000D_
_x000D_
■D_x000D_
 They require us to prepare the picture for [1]/[2]._x000D_
 --> I will try to draw the picture, so please check it when I finish it._x000D_
_x000D_
■E_x000D_
 They require to devide the FIT rate for ""One moment phenomenon"" or ""Permanently phenomenon"" for TSR [1] and [2]._x000D_
 -->Is it possible to divide such difference?_x000D_
 -->If it's difficult, please let me know._x000D_
_x000D_
■F_x000D_
 They would like to know current assumpt FIT rate is onlt Hard Error FIT rate ot Hard + Soft Error FIT rate._x000D_
 -->Can you prepare the answer?_x000D_
_x000D_
■G_x000D_
 They would like to know more accurate release schedule._x000D_
 -->So far I informed them that we would prepare that after 2018/Jan._x000D_
 -->If I answer until 2018/1/31, is it sufficient margin for you? Or insufficient?_x000D_
_x000D_
Sorry for lots addtional questions._x000D_
",AVNET
TLE5046IC-PWME-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"The described case 3 is not a realistic case. _x000D_
We can have 60-40-60-40.... but not 60-60-40-40-60-60..._x000D_
For a good target wheel, where North and South poles have always the same length, the sum of a period must be 100 (40-60 or 60-40 for example, depending on the offset of the signal). You can have consecutive 60-60 (or 40-40) due to external phenomena (airgap jump for example) but just for two successive pulses, then again 40-60 is alternating: example 40-60-40-60-60-40-60-40-60..._x000D_
So the message for Denso is that we do not see realistic application scenarios where this phenomena (60-60-40-40...) is happening and if they calculate the speed based on the period length, then the calculated speed is right._x000D_
_x000D_
Update of the solution to make it more clear:  Either is 40-60-40-60-40-60... or 60-40-60-40-60-40... It can happen that due to an expected events it changes from 40-60 to 60-40 over a period but then this would affect only two consecutive pulses and have something like 40-60-40-60-60-40-60-40 or 60-40-60-40-40-60-40-60, but alternating of 40-60-60-40-40-60-60-40 is not possible (it would mean that either the offset of the signal jump from positive to negative for each magnetic period, or that the design of the target wheel is really bad/strange). So basically the calculated speed based on a whole magnetic period (60-40 or 40-60) is always correct and it could be deviated only for this one period where you have an unexpected situation like an airgap jump.",The duty spec related to speed accuracy ,"Simone, I discussed with Patricia last week, but I haven't became clear, and she is still business trip now, so could you please help to support this topic?_x000D_
_x000D_
Denso asked us about Duty spec 40:60 whether this 40:60 relationship is always fixed, or there's possibility that following situation occurrs._x000D_
   40:60 -> 60:40 -> 40:60_x000D_
_x000D_
Please check the attached visio file._x000D_
_x000D_
I drew total 3 example cases for TLE5045 and TL5046-PWM respectively._x000D_
In regards with TLE5045, even if the duty relationship becomes any combination, ECU only detects rise edge of pulse to calculate wheel speed._x000D_
So there's no problem._x000D_
_x000D_
Next, please check TLE5046-PWM's 3 cases._x000D_
For this interface, first, there's several combinations to detect rise edge and calculate the speed by ECU._x000D_
Case1 and Case2 is no problem, but if we consider Case3, the there's maximum 20% error from original speed._x000D_
If the speed is fast, this 20% is not big impact, but if the speed is slow, this 20% affects not small. So Denso is worried about this point._x000D_
_x000D_
Denso asked whether TLE5046-PWM only occurs this visio's case2 only._x000D_
For this point, I recognize Patricia gave me comment that there's also possibility that case3 occurs._x000D_
But this is still within duty spec.  So we don't violate datasheet spec._x000D_
_x000D_
Certainly, we need to consider same point for AK interface._x000D_
But Daimler AK specification also defines Duty 40:60 and there's no warning description for this point._x000D_
_x000D_
So could you please let me confirm IFX's opinion is such like this?_x000D_
""There's also possiblity that 40:60 -> 60:40 -> 40:60 case occurs._x000D_
But IFX recognizes +/20% speed inaccuracy doesn't matter""_x000D_
_x000D_
If my assumeption is not correct, and you have different conclusion, could you please advice me??_x000D_
_x000D_
_x000D_
_x000D_
  ",ZF
TLE5046IC-PWME-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,The solution is in the attached PowerPoint. If you have any question please let us know. ,Standstill_Twarning,"I saw the Korea Region Update during E1/E2 training._x000D_
There's the information sharing that if the IC enters standstill mode wiht twarning condition, the standstill pulse width becomes 45us(typ) and only time period keeps 200ms._x000D_
_x000D_
There's no description in datasheet so Denso can't understand this behavior._x000D_
I think it's better to share this information with Denso in such early stage to avoid serious trouble in future._x000D_
_x000D_
So is it please provide us the detail summary slides which you prepared for Korea Tier1 customer?_x000D_
_x000D_
",DENSO
SAK-TC397XR-256F300S,None,,EMEA,1234,ZF-test 4 by it please ignore,test 4 by it please ignore,CONTINENTAL
SAK-TC233L-32F200F_AB,None,,JAPAN,measures1,ZF-test 3 by IT please ignore,test 3 by IT please ignore,ARROW
SAK-TC397XR-256F300STEST_LAT3_(ES),None,autosar/mcal_MC_ONLY,EMEA,check measures,"ZF-test by IT 2, please ignore this issue","test by IT 2, please ignore this issue.",ARROW
SAK-TC223L-16F200F_ABSAK-TC233L-32F200F_AB,ATV_BODY_POWER_DISTRIBUTIONATV_CHASSIS_CHASSIS_CONTROL,"application framework_MC_ONLY, application lead adas_MC_ONLY",APJAPAN,MSU 3,ZF-Test by IT - please ignore,Test by IT - please ignore,DABO
SAK-TC233L-32F200F_AB,None,,AP,"done_x000D_
--sync back_x000D_
- second round",ZF-IT sync test after iSOLAR Prod upgrade,IT sync test after iSOLAR Prod upgrade,AVNET
TLE5046IC-AK-LR,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"1) Exactly, if the jump is out of specs and the signal amplitude changes of more than 50%, then the direction algorithm does not work anymore till the amplitude is properly updated (but as you know it is digitally filtered and it takes some time...). The continuous direction toggling 0->1->0->1 is due to the fact that the difference between two consecutive direction samples is smaller than the 50% of the direction signal amplitude (which being filtered is still too big compared with the actual signal) and this is interpreted as a change of direction. We discussed this already, I attach the pptx we sent you that time._x000D_
_x000D_
2) The LM bits change according to the value of the differential magnetic field (see the attached picture taken from the application note). As for question 1, you should take into account that the speed signal amplitude is filtered and some magnetic events are needed to properly update the amplitude (this means, if the airgap suddenly changes, this is not immediately reflected in the LM bits). When the measured amplitude is bigger than one of the thresholds (proportional to dBlimit), then the LM bits are updated. Moreover, it should be taken into account that the field amplitude of magnetic encoder wheel changes exponentially with the airgap (and not linearly). So a change in the airgap of 1mm (just as an example) can have a different impact on the field (and hence on the LM bits) depending on the starting airgap and the ending airgap (see the Bx field graph of one of our target wheels as an example).",The TLE5046iC-AK-LR behavior by Kjump spec violation,"Hitachi is trying to verify the IC by using PGSISI kit._x000D_
_x000D_
They intentionally changes the airgap during normal operation._x000D_
And they found following behaivor._x000D_
_x000D_
Kjump spec -> 60%-200%_x000D_
_x000D_
First they changed 100% -> less than 50%, and they found the AK DR bit changed 0->1->0-1>..... repeatedly approx. 10 times._x000D_
I have already understood, if the IC violates Kjump spec, IC can't detect correct direction any more, so this phenomenon is maybe explainable._x000D_
Could you please give me your opinion?_x000D_
_x000D_
Second, they found although they changed the airgap dramatically, the AK LM bit didnt reflect this change._x000D_
Is it also within your expectation?_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",ZF
TLE5046IC-AK-LR,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"From the description of the phenomenon it seems clearly that the signal watchdog is activated. We should know more details about their test configuration, but if they move the wheel back and forth, depending on the amplitude of the movement it is possible that one channel is generating events and the other no and that the signal watchdog is activated. So I would say that your explanation makes a lot of sense. I attach the pptx that explains the watchdog concepts, where also the signal watchdog is explained (moreover you can use the explanation in the App Note). You can use this to explain the concept to Hitachi, if you think it is important for them to understand. You can ""sell it"" as a good sensor feature that improve the safety concept (crosscheck of the direction and speed signals avoiding deadlock and stuck at states) and reset the chip to a known status in case of misbehavior. Probably the scenario Hitachi is measuring is like a vibration scenario, where the wheel makes small movements back and forth.",Unexpected reset behavior ,"Now Hitachi is trying some verification by using our PGSISI kit._x000D_
_x000D_
To check whether the DR bit immediately change when the direction changes,_x000D_
they manipulate their encoder wheel._x000D_
But they found strange phenomenon._x000D_
_x000D_
After calibration finishes, and direction becomes valid,_x000D_
they tried to change the rotation direction first._x000D_
After that, when they found the AK DR bit change, they immediately changes the direction again, and next they also found the AK DR bit change, the again immediately changes the direction._x000D_
They do this manipulation repeatedly._x000D_
_x000D_
But, after several times changes, they found following phenomenon._x000D_
_x000D_
SLM and GDR bits are automatically cleared. (Mean automatically reset and move to uncalibrted mode)_x000D_
_x000D_
_x000D_
I came up with 1 possibility._x000D_
Hitachi changes the direction when they found the DR bit changes._x000D_
If this change timing is earliar than next direction signal detect point (90degree later), IC can't detect direction siganl permanently._x000D_
_x000D_
In such situation, IC has misunderstanding that the direction signal detection has some trouble and activates signal watchdog function._x000D_
_x000D_
So I have already asked 2 questions to Hitachi._x000D_
_x000D_
[1]Did they change the direction before arriving at next direction detection angle(90degree later)?_x000D_
-> But they said they don't know how much angle they wait before direction change because they didn't monitor internal behavior._x000D_
_x000D_
[2]The reset timing is after 6 or 7 times change?_x000D_
->They remember maybe 6 or 7 times, but they said they need to check again._x000D_
_x000D_
_x000D_
At this time, if you have any idea for the reason why such phenomenon ocurred, it's helpful to give me the advice._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",DENSO
TLE5046IC-PWM-R050,ATV_CHASSIS_ABS/BRAKING,,JAPAN,done - documentation prepared,ADC Read Out - BE SPI Test mode for HML,Description of BE SPI Interface of ABS sensors is needed to Support HML/Nissan,CONTINENTAL
TLE5046IC-AK-LR,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"The solution is in the attached powerpoint ""startup_input_output_hitachi_tle5046ic_measurements""",The first input/output measurement data requirement from Nissan through HITACHI_METAL,"Nissan discussed internally and changed their mind to consider Hitachi metal as sensor supplier candidate for their gigantic project._x000D_
_x000D_
But to do selection, Nissan requires Hitachi metal to submit the input/output wave of mesurement result which can check the relationship between input and output within same time frame._x000D_
_x000D_
The main purpose is to grasp our IC's start up behavior and confirm how to modify their software._x000D_
_x000D_
They require all combinations for calibration number 3/4 and direction detection number 3/5 and direction L/R. (Total 8 cases)_x000D_
_x000D_
Please check attachment._x000D_
Nissan requires such waveform of ""measurement""_x000D_
_x000D_
I negotiate to prepare simulation result, but NIssan needs real measurement result._x000D_
_x000D_
So I have question._x000D_
_x000D_
Have you already had such measurement result?_x000D_
If you done't have, can you measure it by your lab and prepare the data newly?_x000D_
_x000D_
This is very urgent requirement, so I would like to know whether you can prepare or not, and whether you can provide or not and if possible when you can be ready to release._x000D_
_x000D_
_x000D_
",ARROW
TLE5046IC-PWME-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"I copy in the solution the answers from Patricia:_x000D_
_x000D_
1) _x000D_
see attached slides_x000D_
_x000D_
2)_x000D_
idd -->Initial current consumption test_x000D_
I_low -->Supply current 7mA - during static output_x000D_
I_High -->Supply current 14mA - during static output_x000D_
I_Error -->Supply current 3.5mA - @ Voff_x000D_
I_ratio high/low -->Calculated ratio of supply current levels_x000D_
slew rate rise high/low -->Output current slew rate 7mA --> 14 mA_x000D_
slew rate fall high/low -->Output current slew rate 14mA --> 7 mA_x000D_
duty cycle BIST -->Duty cycle of the squared wave resulting as output on the current Interface _x000D_
dB_limit -->Air gap capability_x000D_
external reset -->external reset voltages are datalogged on rising and falling ramp, and hysteresis is calculated_x000D_
Clock check -->Verification of safety mechanism in case of clock signal frequency is below the limit during normal operation_x000D_
Undervoltage detection-->The output current is measured with a supply voltage smaller than reset threshold_x000D_
PWM-Protocol 45µsec pulse-->Length of Warning pulse_x000D_
µBreak-->Register retention time in case of vdd-continuity interruption",FE/BE test contents question,"Denso requires 2 topics._x000D_
_x000D_
■1_x000D_
Denso requires to provide the detail of our FE/BE test contents because they are considering their test method._x000D_
_x000D_
Previously you gave us the attachment for SWS._x000D_
But the table(p3) is for AK protocol products._x000D_
_x000D_
Is this table also same for PWM prptocol products?_x000D_
Or are there any different test for PWM one?_x000D_
If PWM product has additional test, could you please prepare same table for that?_x000D_
Otherwise, could you please remove ""AK-Protocol after detection"" and ""AK-Protocol bit length"" columns and give me the updated table?_x000D_
_x000D_
■2_x000D_
Next, they would like to know how to mesure for each item._x000D_
Is it possible to add supplemental explanation for each test items?_x000D_
_x000D_
(example)_x000D_
・Idd -> Supply voltage to IC and measure the current without IC power up._x000D_
・I_low/I_high/I_min -> add fixed stable magnetic input by coil and monitor the output current ampritude._x000D_
・I_Error -> To enter one of Error state (Low voltage ot something) and monitor the output current._x000D_
・DB_limit -> Not apply magnetic signal, To supply voltage and check the sensitivity and calculate the dB_limit._x000D_
_x000D_
I hope the answer for ■1 first until 11/9._x000D_
In regards with ■2, after ■1, please let us discuss how to answer._x000D_
_x000D_
",ARROW
